Provinces	Population	Number of Municipalities	Waste service providing municipalities	Population served by waste service	Waste service coverage by population	Waste Collected [Tonnes]	Waste per capita (kg/capita-day)
Adana	2 274 106	16	16	2 260 333	99.4	 665 695	0.81
Adıyaman	 487 642	23	22	 483 209	99.1	 179 724	1.02
Afyonkarahisar 	 588 048	60	60	 585 217	99.5	 198 273	0.93
Ağrı	 314 539	12	12	 314 120	99.9	 181 116	1.58
Amasya	 256 679	8	8	 255 455	99.5	 111 099	1.19
Ankara	5 782 285	26	26	5 778 930	99.9	1 956 586	0.93
Antalya	2 688 004	20	20	2 672 108	99.4	1 340 770	1.37
Artvin	 107 965	9	9	 107 965	100.0	 61 276	1.55
Aydın	1 148 241	18	18	1 140 789	99.4	 456 122	1.10
Balıkesir	1 257 590	21	21	1 257 257	100.0	 445 066	0.97
Bilecik	 197 441	11	11	 197 441	100.0	 61 157	0.85
Bingöl	 199 384	11	11	 196 854	98.7	 47 638	0.66
Bitlis	 243 880	13	13	 243 480	99.8	 82 236	0.93
Bolu	 241 953	12	12	 241 953	100.0	 97 911	1.11
Burdur	 203 435	15	15	 203 381	100.0	 128 243	1.73
Bursa	3 194 720	18	18	3 194 720	100.0	1 033 183	0.89
Çanakkale	 415 159	23	23	 405 707	97.7	 256 932	1.74
Çankırı	 146 791	16	16	 143 919	98.0	 79 136	1.51
Çorum	 398 833	16	16	 396 214	99.3	 128 849	0.89
Denizli	1 056 332	20	20	1 049 800	99.4	 342 621	0.89
Diyarbakır	1 804 880	18	18	1 772 283	98.2	 739 224	1.14
Edirne	 330 403	16	16	 330 403	100.0	 147 867	1.23
Elazığ	 498 321	20	20	 495 672	99.5	 170 209	0.94
Erzincan	 196 431	15	15	 195 940	99.8	 80 382	1.12
Erzurum	 749 754	21	21	 703 618	93.8	 231 819	0.90
Eskişehir	 906 617	15	15	 903 401	99.6	 307 569	0.93
Gaziantep	2 154 051	10	10	2 154 051	100.0	 682 796	0.87
Giresun	 325 647	24	24	 316 154	97.1	 110 881	0.96
Gümüşhane	 109 655	14	14	 109 632	100.0	 26 002	0.65
Hakkari	 176 468	8	8	 176 061	99.8	 58 530	0.91
Hatay	1 686 043	16	16	1 686 043	100.0	 826 861	1.34
Isparta	 356 469	22	22	 355 958	99.9	 154 602	1.19
Mersin	1 916 432	14	14	1 908 836	99.6	 590 566	0.85
İstanbul	15 907 951	40	40	15 907 951	100.0	6 552 701	1.13
İzmir	4 462 056	31	31	4 457 705	99.9	1 983 465	1.22
Kars	 145 215	9	9	 144 792	99.7	 105 499	2.00
Kastamonu	 244 090	20	20	 240 561	98.6	 75 731	0.86
Kayseri	1 441 523	17	17	1 441 232	100.0	 513 665	0.98
Kırklareli	 307 853	21	21	 306 806	99.7	 111 986	1.00
Kırşehir	 205 554	10	10	 205 527	100.0	 75 102	1.00
Kocaeli	2 079 072	13	13	2 079 072	100.0	 622 287	0.82
Konya	2 296 347	32	32	2 286 298	99.6	 823 070	0.99
Kütahya	 462 886	  28	  28	 462 886	100.0	 146 765	0.87
Malatya	 812 580	14	14	 806 370	99.2	 221 315	0.75
Manisa	1 468 279	18	18	1 468 279	100.0	 634 997	1.18
Kahramanmaraş	1 177 436	12	12	1 170 805	99.4	 405 167	0.95
Mardin	 870 374	11	11	 814 893	93.6	 215 120	0.72
Muğla	1 048 185	14	14	1 044 022	99.6	 582 240	1.53
Muş	 239 760	23	22	 237 064	98.9	 83 973	0.97
Nevşehir	 250 696	23	23	 249 948	99.7	 87 513	0.96
Niğde	 300 538	29	29	 293 425	97.6	 103 303	0.96
Ordu	 763 190	20	20	 717 497	94.0	 224 191	0.86
Rize	 250 776	18	18	 247 307	98.6	 71 662	0.79
Sakarya	1 080 080	17	17	1 073 984	99.4	 355 011	0.91
Samsun	1 368 488	18	18	1 312 802	95.9	 397 195	0.83
Siirt	 242 539	12	12	 241 818	99.7	 78 186	0.89
Sinop	 139 531	9	9	 138 787	99.5	 62 942	1.24
Sivas	 498 834	24	24	 498 070	99.8	 258 164	1.42
Tekirdağ	1 142 451	12	12	1 142 451	100.0	 484 766	1.16
Tokat	 477 701	37	37	 474 320	99.3	 162 972	0.94
Trabzon	 818 023	19	19	 812 248	99.3	 213 415	0.72
Tunceli	 58 230	9	9	 56 319	96.7	 26 507	1.29
Şanlıurfa	2 170 110	14	14	2 124 726	97.9	 513 421	0.66
Uşak	 297 315	11	11	 297 274	100.0	 123 553	1.14
Van	1 128 749	14	14	1 123 675	99.6	 419 453	1.02
Yozgat	 318 145	36	36	 318 057	100.0	 134 744	1.16
Zonguldak	 434 560	25	25	 433 058	99.7	 141 243	0.89
Aksaray	 356 625	22	22	 354 758	99.5	 99 331	0.77
Bayburt	 60 265	5	5	 60 265	100.0	 21 392	0.97
Karaman	 213 606	11	11	 212 395	99.4	 64 944	0.84
Kırıkkale	 249 402	11	11	 249 402	100.0	 75 600	0.83
Batman	 541 139	11	11	 538 344	99.5	 176 709	0.90
Şırnak	 420 731	19	19	 420 116	99.9	 217 716	1.42
Bartın	 110 451	8	8	 109 791	99.4	 74 890	1.87
Ardahan	 41 120	7	7	 41 120	100.0	 26 146	1.74
Iğdır	 134 419	7	7	 134 419	100.0	 57 229	1.17
Yalova	 265 869	14	14	 264 470	99.5	 117 506	1.22
Karabük	 198 467	7	7	 198 298	99.9	 51 400	0.71
Kilis	 116 361	4	4	 116 361	100.0	 81 555	1.92
Osmaniye	 468 665	14	14	 468 665	100.0	 131 002	0.77
Düzce	 284 706	  10	  10	 284 069	99.8	 96 074	0.93
